,spp,fbsci,maxlength,mortalitywild,fecundity,fecundity_mean,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,larvae_mean
28,Boreogadus saida,Boreogadus saida,40,7,"c(30000, 9000, 9000, 5500, 30000, NA)",16700,"c(NA, NA, NA, NA)",NaN,"c(3, 2, 4, 2)",2.75,once in a lifetime,NA,external,dioecism,"c(""coastal"", NA, ""coastal"", ""coastal"")",0,1,5,5
29,Branchiostegus japonicus,Branchiostegus japonicus,46,12,NA,NaN,"c(21.4, 23.7, NA)",22.55,"c(NA, NA, 2)",2,NA,NA,NA,NA,NA,NA,NA,NA,NaN
30,Branchiostoma belcheri,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
31,Branchiostoma japonicum,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
32,Caffrogobius caffer,Caffrogobius caffer,18,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
33,Carcharhinus altimus,Carcharhinus altimus,300,NA,3,3,"c(226, 190, NA, NA, 205)",207,"c(NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,"c(NA, ""shelf"")",0,3,NA,NaN
34,Carcharhinus galapagensis,Carcharhinus galapagensis,370,24,4,4,"c(250, 210, 250, 210, 215, 205)",223.3333333,"c(NA, NA, NA, NA, 6.5, 6)",6.25,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
35,Carcharodon carcharias,Carcharodon carcharias,640,36,"c(10, 7)",8.5,"c(450, 360, 454, 332, 379, 372)",391.1666667,"c(12, 12, NA, NA, NA, 8)",10.66666667,NA,NA,internal (oviduct),dioecism,NA,0,1,NA,NaN
36,Centrophorus harrissoni,Centrophorus harrissoni,111.4,NA,1,1,"c(NA, 75)",75,"c(23, 15)",19,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
37,Centrophorus moluccensis,Centrophorus moluccensis,100,NA,2,2,"c(69, 80, 89, 69)",76.75,"c(NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
38,Centrophorus uyato,Centrophorus uyato,110,NA,1,1,"c(75, 81)",78,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
39,Centrophorus zeehaani,Centrophorus zeehaani,91,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
40,Centropristis striata,Centropristis striata,66,20,NA,NaN,"c(NA, NA, 11.8)",11.8,"c(NA, NA, NA)",NaN,NA,NA,external,protogyny,NA,0,3,NA,NaN
41,Centroscymnus crepidater,Centroscymnus crepidater,130,54,4,4,"c(82, 64, NA, NA, NA)",73,"c(NA, NA, 9, NA, NA)",9,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
42,Cephalopholis argus,Cephalopholis argus,60,NA,NA,NaN,"c(52, 22)",37,"c(NA, NA)",NaN,NA,NA,external,protogyny,NA,0,3,NA,NaN
43,Cephalopholis fulva,Cephalopholis fulva,44,11,67000,67000,"c(NA, NA, NA)",NaN,"c(NA, NA, NA)",NaN,one clear seasonal peak per year,4.8 months,external,protogyny,"c(NA, NA, ""coastal"", NA, NA)",0,1,NA,NaN
44,Cetengraulis edentulus,Cetengraulis edentulus,18.2,NA,9608,9608,"c(NA, NA, NA, 12, NA, NA)",12,"c(NA, NA, NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(""coastal"", NA, ""coastal"")",0,3,NA,NaN
45,Chaetodon austriacus,Chaetodon austriacus,13,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
46,Chaetodon lunulatus,Chaetodon lunulatus,14,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
47,Chaetodon melapterus,Chaetodon melapterus,13,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
48,Chaetodon meyeri,Chaetodon meyeri,20,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
49,Chaetodon ornatissimus,Chaetodon ornatissimus,20,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
50,Chaetodon tricinctus,Chaetodon tricinctus,15,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
51,Chaetodon trifasciatus,Chaetodon trifasciatus,15,NA,NA,NaN,12.5,12.5,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
52,Chromis multilineata,Chromis multilineata,20,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,2.09,2.09
53,Chromis viridis,Chromis viridis,10,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,"c(NA, NA)",NaN
54,Chrysiptera talboti,Chrysiptera talboti,6,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
55,Chrysoblephus laticeps,Chrysoblephus laticeps,50,NA,NA,NaN,"c(NA, NA, NA)",NaN,"c(NA, NA, NA)",NaN,NA,NA,external,protogyny,NA,0,3,NA,NaN
56,Chrysoblephus puniceus,Chrysoblephus puniceus,85,NA,NA,NaN,NA,NaN,NA,NaN,NA,5 months,external,protogyny,coastal,0,NA,NA,NaN
57,Cirrhilabrus punctatus,Cirrhilabrus punctatus,13,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
58,Cleisthenes herzensteini,Cleisthenes herzensteini,47,15,NA,NaN,"c(22, 25)",23.5,"c(NA, 5)",5,NA,NA,external,dioecism,coastal,0,1,NA,NaN
59,Clupea pallasii pallasii,Clupea pallasii pallasii,46,19,"c(NA, 6300, 6300, 9000, NA, NA, NA)",7200,"c(NA, 21, 28, 24, 12, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",21.25,"c(2, NA, NA, NA, NA, NA, 2, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",2,one clear seasonal peak per year,3.5 months,external,dioecism,"c(NA, ""coastal"", ""estuarine"", NA, NA, NA, NA, NA)",-1,1,5.6,5.6
60,Collichthys lucidus,Collichthys lucidus,17,NA,NA,NaN,13,13,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
61,Conger conger,Conger conger,300,NA,3.00E+06,3.00E+06,"c(NA, 50, NA)",50,"c(NA, NA, 5)",5,once in a lifetime,NA,external,dioecism,NA,0,NA,NA,NaN
62,Coris bulbifrons,Coris bulbifrons,60,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
63,Coryphaenoides mediterraneus,Coryphaenoides mediterraneus,73,NA,NA,NaN,62,62,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
64,Crystallias matsushimae,Crystallias matsushimae,38,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
65,Cynoscion nebulosus,Cynoscion nebulosus,100,18,"c(NA, 102369, NA)",102369,"c(NA, NA, 21, 24.7)",22.85,"c(NA, NA, 1, NA)",1,NA,5 months,external,dioecism,"c(""coastal"", ""coastal"")",-1,3,NA,NaN
66,Dalatias licha,Dalatias licha,182,NA,"c(10, 3)",6.5,"c(120, 100, 117, 100, 117, 77, NA)",105.1666667,"c(NA, NA, NA, NA, NA, NA, 15.5)",15.5,"throughout the year, but peaking once",NA,internal (oviduct),dioecism,"c(NA, NA, ""shelf"")",0,1,NA,NaN
67,Dasyatis pastinaca,Dasyatis pastinaca,64,NA,4,4,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,1,NA,NaN
68,Diaphus theta,Diaphus theta,11.4,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,3,3
69,Dicentrarchus labrax,Dicentrarchus labrax,103,30,231875,231875,"c(NA, NA, 36, NA, 31, 32, 23, 17, 38.5, NA, 40, 31)",31.0625,"c(NA, NA, NA, NA, NA, NA, NA, NA, 3, 4, 5, 4)",4,one clear seasonal peak per year,4.2 months,external,dioecism,"c(NA, NA, NA, NA, ""oceanic"")",-1,1,3.83,3.83
70,Diplodus sargus,Diplodus sargus,45,10,"c(33660, 64650)",49155,"c(NA, 25, 20, NA, NA, NA, NA, NA)",22.5,"c(NA, 4, 3, NA, NA, NA, NA, NA)",3.5,one clear seasonal peak per year,5.1 months,external,protandry,"c(NA, NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"", ""coastal"")",0,3,2.9,2.9
71,Diplodus vulgaris,Diplodus vulgaris,45,NA,NA,NaN,NA,NaN,NA,NaN,one clear seasonal peak per year,2 months,external,dioecism,"c(NA, NA, NA)",0,3,NA,NaN
72,Dipturus oxyrinchus,Dipturus oxyrinchus,150,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
73,Dipturus trachyderma,Dipturus trachyderma,264,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
74,Eleginops maclovinus,Eleginops maclovinus,90,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protandry,NA,0,NA,NA,NaN
75,Engraulis australis,Engraulis australis,15,6,NA,NaN,6,6,1,1,Two seasonal peaks per year,7 months,external,dioecism,coastal,-1,1,2.9,2.9
76,Engraulis capensis,Engraulis capensis,17,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,-1,1,NA,NaN
77,Engraulis encrasicolus,Engraulis encrasicolus,20,5,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 11710)",11710,"c(10, 11, 13, NA, NA, NA, NA, NA, 9, 8.2, 6.7, 5.5, NA, NA, NA, NA, 10, NA, NA, NA, NA, NA, NA, 10.41, 10.25, NA, NA, NA)",9.406,"c(NA, 1, 1, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 1)",1,one clear seasonal peak per year,5 months,external,dioecism,"c(NA, NA, NA, ""shelf"", ""coastal"", ""estuarine"", ""shelf"", ""coastal"", NA, ""coastal"", NA, NA, NA, ""coastal"", NA, ""coastal"", NA, ""coastal"", ""estuarine"", ""estuarine"")",-1,1,3,3
78,Engraulis eurystole,Engraulis eurystole,15.5,NA,NA,NaN,NA,NaN,NA,NaN,NA,2 months,external,dioecism,NA,-1,1,2,2
79,Engraulis japonicus,Engraulis japonicus,18,4,NA,NaN,"c(NA, 10, NA, NA)",10,"c(2, 1, NA, NA)",1.5,Variable throughout range,5.5 months,external,dioecism,"c(""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, ""coastal"", ""coastal"", ""coastal"")",-1,1,NA,NaN
80,Epinephelus akaara,Epinephelus akaara,58,NA,NA,NaN,"c(23, 30)",26.5,"c(NA, NA)",NaN,NA,3 months,external,protogyny,coastal,0,3,NA,NaN
81,Epinephelus fasciatus,Epinephelus fasciatus,40,NA,NA,NaN,"c(24, 16, 17.5)",19.16666667,"c(NA, NA, NA)",NaN,NA,NA,external,true hermaphroditism,NA,0,3,NA,NaN
82,Epinephelus itajara,Epinephelus itajara,250,37,NA,NaN,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,external,protogyny,"c(NA, ""coastal"")",0,3,NA,NaN
83,Epinephelus merra,Epinephelus merra,32,NA,NA,NaN,"c(19, NA)",19,"c(NA, NA)",NaN,NA,NA,external,protogyny,NA,0,3,NA,NaN
84,Epinephelus striatus,Epinephelus striatus,122,29,NA,NaN,NA,NaN,NA,NaN,one clear seasonal peak per year,2.5 months,external,protogyny,"c(NA, ""shelf"", NA, NA, NA, NA, ""coastal"")",0,3,NA,NaN
85,Etelis carbunculus,Etelis carbunculus,127,32,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,-1,1,NA,NaN
86,Etelis coruscans,Etelis coruscans,120,NA,NA,NaN,52.2,52.2,NA,NaN,NA,NA,external,dioecism,NA,-1,1,NA,NaN
87,Euthynnus affinis,Euthynnus affinis,100,NA,"c(NA, 434227, NA)",434227,"c(50, 40, NA, NA, NA, NA, NA, NA)",45,"c(3, NA, NA, NA, NA, NA, NA, NA)",3,Variable throughout range,NA,external,dioecism,"c(NA, NA, NA, ""coastal"")",-1,3,NA,NaN
88,Eviota albolineata,Eviota albolineata,3.6,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
89,Eviota queenslandica,Eviota queenslandica,2.4,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
90,Fistularia commersonii,Fistularia commersonii,160,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,5.4,5.4
91,Forsterygion capito,Forsterygion capito,9.4,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
92,Forsterygion gymnotum,Forsterygion gymnotum,7.6,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
93,Forsterygion lapillum,Forsterygion lapillum,6.69,3,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
94,Forsterygion nigripenne,Forsterygion nigripenne,9,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
95,Forsterygion varium,Forsterygion varium,13,4,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,1,NA,NaN
96,Gadus macrocephalus,Gadus macrocephalus,119,25,"c(1e+06, 860000, 3e+06, 1500000, 1200000, NA, NA)",1512000,"c(50, 50, 67, 40, 40, NA, 65, 60, 65, 60, 60, 55, 60, 55, 55, 50, NA, NA)",55.46666667,"c(3, 3, 5, 2, 2, NA, 5, 5, 5, 5, 5, 5, 5, 5, 4, 3, NA, 3)",4.0625,one clear seasonal peak per year,2.7 months,external,dioecism,"c(NA, NA, NA, NA, NA, NA, NA)",0,1,3.5,3.5
97,Gadus morhua,Gadus morhua,200,25,"c(2700000, 2500000, 5e+05, 5e+05, NA, NA, NA, 1576000, 2963683, 2732327, 285000, NA, NA, NA, 544000, 131209, 265600, 230000, 14000, 145300, 23171, 145500, 309900, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA)",915628.8235,"c(NA, NA, NA, NA, NA, 52, 50, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 70, 70, 50, 70, 75, 38.5, 60, 42.5, NA, NA, NA, NA, NA, NA, NA, 51, 81, 71, 41, 51, 46, 31.4, 31, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 35, 20, 45, NA, NA, NA, NA, NA, NA, 50, 41, 34, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 58.7, NA, NA, NA, NA, NA, 64, 48, NA)",51.0037037,"c(NA, 2, 4, NA, NA, 5, 5, 2.5, 7, 6, 6, 3, NA, NA, NA, NA, NA, NA, 6, 6, 3, 6, 7, 2.5, 3, 2.5, NA, NA, NA, NA, NA, 5, 3, NA, NA, NA, NA, NA, NA, 4, 4, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 3, 1, 2, NA, NA, 2, NA, 2, 2, 2, 2, 3, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 5, NA, 3, 3, NA, NA, 3, 2, NA)",3.625,one clear seasonal peak per year,3.9 monts,external,dioecism,"c(NA, NA, NA, ""shelf"", NA, NA, ""coastal"", NA, ""coastal"", NA, NA, NA, NA, NA, NA, NA, NA, NA, ""shelf"", ""coastal"", ""coastal"", NA, NA, NA, NA, ""coastal"", NA, ""coastal"", ""coastal"", NA, ""coastal"")",-1,1,3.3,3.3
98,Galeus melastomus,Galeus melastomus,75,NA,"c(97, 1, 15)",37.66666667,"c(NA, NA, 56, 48, NA)",52,"c(NA, NA, NA, NA, 3)",3,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
99,Genypterus capensis,Genypterus capensis,180,NA,NA,NaN,"c(60, 50, 50)",53.33333333,"c(NA, NA, 4)",4,NA,3 months,external,dioecism,NA,0,1,NA,NaN
100,Ginglymostoma cirratum,Ginglymostoma cirratum,430,25,21,21,"c(230, 225)",227.5,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
101,Girella punctata,Girella punctata,50,NA,NA,NaN,39,39,NA,NaN,NA,3.5 months,NA,NA,"c(NA, NA)",NA,NA,NA,NaN
102,Glyptocephalus stelleri,Glyptocephalus stelleri,52,23,NA,NaN,"c(24, 23, 26)",24.33333333,"c(NA, NA, 7)",7,NA,NA,external,dioecism,coastal,0,1,NA,NaN
103,Halichoeres cyanocephalus,Halichoeres cyanocephalus,30,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
104,Halichoeres garnoti,Halichoeres garnoti,19.3,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protogyny,NA,0,NA,1.7,1.7
105,Halichoeres maculipinna,Halichoeres maculipinna,18,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protogyny,NA,0,NA,1.7,1.7
106,Heptranchias perlo,Heptranchias perlo,137,NA,9,9,"c(100, 75, 93, 85, 75, 75, NA)",83.83333333,"c(NA, NA, NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,shelf,0,NA,NA,NaN
107,Hexagrammos agrammus,Hexagrammos agrammus,30,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
108,Hexagrammos otakii,Hexagrammos otakii,57,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
109,Hexanchus griseus,Hexanchus griseus,482,NA,22,22,"c(400, 315, NA, 325, 420, 315)",355,"c(NA, NA, NA, NA, NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,shelf,0,1,NA,NaN
110,Hippocampus hippocampus,Hippocampus hippocampus,15,NA,865,865,NA,NaN,0.33,0.33,NA,7 months,in brood pouch or similar structure,dioecism,"c(""coastal"", NA)",-1,1,9.3,9.3
111,Hippocampus ingens,Hippocampus ingens,30,NA,400,400,NA,NaN,0.33,0.33,NA,NA,in brood pouch or similar structure,dioecism,coastal,-1,1,8.5,8.5
112,Hippocampus kuda,Hippocampus kuda,30,NA,"c(20, NA)",20,"c(NA, NA)",NaN,"c(0.58, 0.5)",0.54,NA,NA,in brood pouch or similar structure,dioecism,"c(""coastal"", ""estuarine"")",-1,1,7,7
113,Hippocampus mohnikei,Hippocampus mohnikei,8,NA,NA,NaN,NA,NaN,0.5,0.5,NA,NA,in brood pouch or similar structure,dioecism,NA,-1,1,NA,NaN
114,Hippocampus trimaculatus,Hippocampus trimaculatus,22,NA,"c(400, NA)",400,"c(NA, NA)",NaN,"c(0.5, NA)",0.5,NA,NA,in brood pouch or similar structure,dioecism,"c(""coastal"", NA)",-1,1,6.1,6.1
115,Hippoglossus stenolepis,Hippoglossus stenolepis,258,55,2250000,2250000,"c(NA, NA, 134, 125, NA)",129.5,"c(7, 5, 12.1, 10.9, NA)",8.75,NA,3 months,external,dioecism,NA,0,1,NA,NaN
116,Holocentrus adscensionis,Holocentrus adscensionis,61,NA,NA,NaN,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, NA)",0,3,NA,NaN
117,Hoplostethus atlanticus,Hoplostethus atlanticus,75,149,"c(10000, 10000, 10000, 21620, 10670, 15700, 21780, 25550, 66000, 20352)",21167.2,"c(NA, 28, NA, 18, 31.6, 15.9, 26.5, 39, NA, 29, NA, NA, NA, NA)",26.85714286,"c(NA, 20, NA, 6, 11, 5, 9, NA, NA, NA, NA, NA, NA, NA)",10.2,one clear seasonal peak per year,2.1 months,external,dioecism,"c(""shelf"", ""shelf"", ""shelf"", NA, ""shelf"", ""shelf"", NA)",0,NA,NA,NaN
118,Hyperoglyphe antarctica,Hyperoglyphe antarctica,140,15,NA,NaN,"c(61, 62)",61.5,"c(5, 6)",5.5,NA,NA,NA,dioecism,"c(NA, NA, NA, NA)",0,NA,NA,NaN
119,Isurus oxyrinchus,Isurus oxyrinchus,445,32,4,4,"c(280, 195, NA, NA, 280, 195, 275, 180, 275, 180, NA, NA, NA, NA)",232.5,"c(NA, NA, NA, NA, NA, NA, 19, 7, NA, NA, NA, 18, NA, 13)",14.25,NA,NA,internal (oviduct),dioecism,NA,0,1,NA,NaN
120,Katsuwonus pelamis,Katsuwonus pelamis,110,12,"c(80000, NA, 1e+06, 61516, 205947)",336865.75,"c(NA, NA, 43.5, NA, 40, 40, NA, 40, 51)",42.9,"c(NA, NA, NA, NA, NA, 1, NA, NA, NA)",1,Variable throughout range,7.6 months,external,dioecism,"c(NA, NA, NA, NA, NA)",-1,3,NA,NaN
