He Models: mtDNA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Models (include spp, Source, MarkerName)",,,,,,,,,,,,,,,,,,,,,,,,,,
mtDNA,AICc,delta,logLiK,weight,df,Intercept,maxlength,Fecundity Mean (log),Fertilization,Reproduction mode,Bp,Extra Notes:,,,,,,,,,,,,,,
,668.9344,2.537721,-329.155,0.032094,5,-4.34988,NA,0.513835,NA,3.785241,NA,,,,,,,,,,,,,,,
,669.0577,2.660999,-328.087,0.030175,6,1.220935,1.661283,0.18782,-2.61975,NA,NA,,,,,,,,,,,,,,,
,669.5433,3.146563,-328.33,0.023671,6,3.911,NA,0.163864,-2.20984,NA,0.423233,,,,,,,,,,,,,,,
,669.8185,3.421841,-328.467,0.020627,6,-4.37233,NA,0.471652,NA,3.93001,0.341005,,,,,,,,,,,,,,,
,669.9396,3.542902,-330.764,0.019415,4,-0.53166,NA,0.559009,NA,NA,NA,,,,,,,,,,,,,,,
,670.2528,3.856096,-326.352,0.016601,8,-1.38347,0.889734,0.16256,-2.15344,3.339882,0.355507,,,,,,,,,,,,,,,
,670.6787,4.281979,-327.744,0.013417,7,1.424682,1.586497,0.166049,-2.61949,NA,0.278618,,,,,,,,,,,,,,,
,670.789,4.392328,-328.952,0.012697,6,-6.49173,1.064108,0.562836,NA,3.705201,NA,,,,,,,,,,,,,,,
,671.0597,4.662972,-330.217,0.01109,5,-0.40728,NA,0.517836,NA,NA,0.321094,,,,,,,,,,,,,,,
,671.3108,4.91412,-330.343,0.009781,5,-2.98909,1.200904,0.60131,NA,NA,NA,,,,,,,,,,,,,,,
,671.4251,5.028375,-331.506,0.009238,4,-2.08357,NA,NA,NA,3.867235,NA,,,,,,,,,,,,,,,
,671.5141,5.117364,-330.445,0.008836,5,-2.36701,NA,NA,NA,4.049795,0.448915,,,,,,,,,,,,,,,
,672.06,5.663296,-328.434,0.006725,7,-5.03142,0.335469,0.484315,NA,3.90122,0.316844,,,,,,,,,,,,,,,
,672.092,5.695322,-332.924,0.006618,3,2.01965,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,
,672.4894,6.092696,-332.039,0.005426,4,1.926772,NA,NA,NA,NA,0.424825,,,,,,,,,,,,,,,
,672.8846,6.48788,-330,0.004453,6,-2.79805,1.134387,0.576776,NA,NA,0.257948,,,,,,,,,,,,,,,
,673.4291,7.032376,-331.402,0.003392,5,-3.24533,0.631534,NA,NA,3.83146,NA,,,,,,,,,,,,,,,
,673.752,7.355336,-332.67,0.002886,4,-1.27882,1.748444,NA,NA,NA,NA,,,,,,,,,,,,,,,
,673.7674,7.370757,-330.442,0.002864,6,-2.5492,0.100675,NA,NA,4.042074,0.440782,,,,,,,,,,,,,,,
,674.6149,8.218214,-331.995,0.001875,5,1.018117,0.481264,NA,NA,NA,0.39621,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi Models: mtDNA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Models (include spp, Source, MarkerName)",,,,,,,,,,,,,,,,,,,,,,,,,,
mtDNA,AICc,delta,logLiK,weight,df,Intercept,maxlength,Fecundity Mean (log),Fertilization,Reproduction mode,Bp,Extra Notes:,,,,,,,,,,,,,,
Fertilization,14.94827,0,-2.161633,0.240422939,5,-1.3139752,NA,NA,-0.8964065,NA,NA,,,,,,,,,,,,,,,
"Maxlength, fertilization",16.72041,1.772146,-1.918101,0.099119561,6,-0.8718546,-0.269785,NA,-0.8373362,NA,NA,,,,,,,,,,,,,,,
"Fertilization, bp",16.74525,1.796983,-1.930519,0.097896249,6,-1.2661782,NA,NA,-0.9193688,NA,-0.035419646,,,,,,,,,,,,,,,
"Fertilization, rreproduction",17.1177,2.169435,-2.116745,0.08126229,6,-1.5317528,NA,NA,-0.8837704,0.1925189,NA,,,,,,,,,,,,,,,
"Fecundity, fertilization",17.19852,2.250259,-2.157157,0.078043808,6,-1.3830249,NA,0.009606691,-0.8758061,NA,NA,,,,,,,,,,,,,,,
,18.77663,3.828366,-1.792571,0.03545331,7,-0.9321516,-0.2106485,NA,-0.8678808,NA,-0.027129434,,,,,,,,,,,,,,,
,18.90587,3.957604,-1.85719,0.033234807,7,-1.1096042,-0.2784217,NA,-0.8208385,0.2226984,NA,,,,,,,,,,,,,,,
,18.97757,4.029307,-1.893042,0.032064398,7,-1.0111126,-0.2851655,0.022880649,-0.7849161,NA,NA,,,,,,,,,,,,,,,
,18.98807,4.039807,-1.898292,0.031896496,7,-1.4506369,NA,NA,-0.9081172,0.1619168,-0.034465898,,,,,,,,,,,,,,,
,19.00603,4.057762,-1.907269,0.031611426,7,-1.4215518,NA,0.021978946,-0.8735035,NA,-0.03733735,,,,,,,,,,,,,,,
,19.32173,4.373469,-5.454682,0.026995368,4,-2.4277446,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,
,19.41214,4.463872,-2.110324,0.025802296,7,-1.6193837,NA,0.01150214,-0.8588201,0.1969029,NA,,,,,,,,,,,,,,,
,19.48899,4.540719,-4.431993,0.024829689,5,-3.0443645,NA,0.136422973,NA,NA,NA,,,,,,,,,,,,,,,
,20.03627,5.088005,-4.705636,0.018885548,5,-1.4243547,-0.5248968,NA,NA,NA,NA,,,,,,,,,,,,,,,
,20.12619,5.177925,-3.62099,0.01805526,6,-2.0491158,-0.5204053,0.136228677,NA,NA,NA,,,,,,,,,,,,,,,
,21.04101,6.092743,-1.746311,0.011427561,8,-1.1356104,-0.2216045,NA,-0.8517393,0.1938541,-0.025555392,,,,,,,,,,,,,,,
,21.04877,6.100507,-1.750193,0.011383283,8,-1.1178576,-0.2263858,0.029798726,-0.8018588,NA,-0.029110586,,,,,,,,,,,,,,,
,21.19971,6.25144,-1.82566,0.010555842,8,-1.2782707,-0.2961381,0.025660328,-0.7611861,0.2344219,NA,,,,,,,,,,,,,,,
,21.21441,6.266144,-5.294705,0.010478522,5,-2.8662737,NA,NA,NA,0.4178941,NA,,,,,,,,,,,,,,,
,21.2926,6.344334,-1.872107,0.010076768,8,-1.6235756,NA,0.023315717,-0.8589706,0.1690423,-0.036458365,,,,,,,,,,,,,,,
,21.32022,6.371958,-4.218007,0.009938545,6,-3.0791201,NA,0.148726596,NA,NA,-0.038180525,,,,,,,,,,,,,,,
,21.42385,6.475588,-5.399427,0.009436692,5,-2.4167749,NA,NA,NA,NA,-0.019965638,,,,,,,,,,,,,,,
,21.43555,6.487287,-4.275671,0.009381654,6,-3.452748,NA,0.135246494,NA,0.3941695,NA,,,,,,,,,,,,,,,
,21.91099,6.962727,-4.513391,0.007396716,6,-1.8771687,-0.5319996,NA,NA,0.4444462,NA,,,,,,,,,,,,,,,
,22.0514,7.103131,-3.429954,0.00689526,7,-2.472218,-0.5273982,0.135026729,NA,0.421017,NA,,,,,,,,,,,,,,,
,22.29478,7.346517,-4.705286,0.006105203,6,-1.4291276,-0.5219409,NA,NA,NA,-0.001597818,,,,,,,,,,,,,,,
,22.31181,7.363542,-3.560159,0.006053452,7,-2.1403419,-0.4824743,0.142845853,NA,NA,-0.020476723,,,,,,,,,,,,,,,
,23.35209,8.403827,-1.697785,0.003598389,9,-1.3471463,-0.2391482,0.031877651,-0.7800912,0.2061445,-0.027574515,,,,,,,,,,,,,,,
,23.3535,8.405239,-4.081008,0.003595849,7,-3.4569578,NA,0.147011102,NA,0.3663707,-0.036250139,,,,,,,,,,,,,,,
,23.3822,8.433931,-5.248993,0.003544631,6,-2.8428303,NA,NA,NA,0.4050101,-0.018066156,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
He Models: msat,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
"Top Models (include spp, Source, MarkerName)",,,,,,,,,,,,,,,,,,,,,,,,,,
msat,AICc,delta,logLiK,weight,df,Intercept,Maxlength,Fecundity Mean (log),Fertilization,Reproduction mode,Repeat,CrossSpp,Primer Note,Extra Notes:,,,,,,,,,,,,
"Maxlength, fertilization, repeat, crossspp",37601.14,0,-18793.54,1.83E-01,7,2.8535432,-0.5554453,NA,-0.5664772,NA,0.3943056,-0.158009,NA,,,,,,,,,,,,,
"Fertilization, repeat, crossspp",37602.01,0.8749185,-18794.99,1.18E-01,6,1.7406954,NA,NA,-0.5625192,NA,0.3992434,-0.1556083,NA,,,,,,,,,,,,,
"Maxlength, fertilization, reproduction, repeat, crossspp",37602.23,1.091282,-18793.08,1.06E-01,8,3.2325989,-0.5345918,NA,-0.6226522,-0.30829928,0.3936105,-0.1574763,NA,,,,,,,,,,,,,
"Fertilization, reproduction, repeat, crossspp",37602.94,1.7981724,-18794.44,7.44E-02,7,2.2122022,NA,NA,-0.6256469,-0.34544666,0.3984202,-0.1550942,NA,,,,,,,,,,,,,
"Maxlength, fertilization, repeat, crossspp, primernote",37603.13,1.9948514,-18793.53,6.74E-02,8,2.8501865,-0.5534968,NA,-0.564643,NA,0.3942571,-0.1581009,-0.018696491,,,,,,,,,,,,,
,37603.14,1.9977601,-18793.53,6.73E-02,8,2.7727661,-0.5438504,0.007621025,-0.5498456,NA,0.3941003,-0.1582053,NA,,,,,,,,,,,,,
,37603.72,2.5790644,-18794.83,5.03E-02,7,1.497301,NA,0.032207245,-0.4924123,NA,0.3980307,-0.1565804,NA,,,,,,,,,,,,,
,37603.99,2.856196,-18794.97,4.38E-02,7,1.741347,NA,NA,-0.5601802,NA,0.3991905,-0.1557176,-0.023752613,,,,,,,,,,,,,
,37604.2,3.0625681,-18793.06,3.95E-02,9,3.2325852,-0.5313475,NA,-0.6206114,-0.31249828,0.39352,-0.1576081,-0.028183004,,,,,,,,,,,,,
,37604.23,3.0928961,-18793.07,3.89E-02,9,3.1565617,-0.5238132,0.007104882,-0.6070425,-0.30771767,0.3934135,-0.1576631,NA,,,,,,,,,,,,,
,37604.67,3.5265624,-18794.3,3.13E-02,8,1.9730998,NA,0.030662463,-0.557957,-0.33998708,0.3972416,-0.156043,NA,,,,,,,,,,,,,
,37604.89,3.7483184,-18794.41,2.80E-02,8,2.2196829,NA,NA,-0.6231656,-0.35028225,0.3983242,-0.1552435,-0.033926514,,,,,,,,,,,,,
,37605.14,3.9991171,-18793.53,2.47E-02,9,2.7809217,-0.5436975,0.006564507,-0.5505266,NA,0.3940862,-0.1582598,-0.016561725,,,,,,,,,,,,,
,37605.72,4.5837164,-18794.83,1.85E-02,8,1.5042536,NA,0.031338977,-0.4929795,NA,0.3980302,-0.1566188,-0.013577778,,,,,,,,,,,,,
,37606.01,4.8722204,-18796.99,1.60E-02,6,0.4985886,NA,0.098641536,NA,NA,0.3948346,-0.1584568,NA,,,,,,,,,,,,,
,37606.21,5.0725175,-18793.05,1.45E-02,10,3.1746075,-0.5233115,0.005416441,-0.6088691,-0.31179143,0.3933771,-0.1577424,-0.026360462,,,,,,,,,,,,,
,37606.61,5.4748495,-18796.28,1.18E-02,7,1.3960367,-0.4213914,0.085679205,NA,NA,0.3917958,-0.1597807,NA,,,,,,,,,,,,,
,37606.65,5.5110104,-18794.28,1.16E-02,9,1.9904852,NA,0.029113264,-0.5596292,-0.34367217,0.3972281,-0.1561053,-0.024127305,,,,,,,,,,,,,
,37607.25,6.1084578,-18797.6,8.62E-03,6,2.0280165,-0.5475671,NA,NA,NA,0.3936946,-0.1577627,NA,,,,,,,,,,,,,
,37607.52,6.3808678,-18798.75,7.52E-03,5,0.9366351,NA,NA,NA,NA,0.3977268,-0.1558366,NA,,,,,,,,,,,,,
,37607.86,6.7206622,-18796.9,6.34E-03,7,0.6367308,NA,0.101577936,NA,-0.13696421,0.3943765,-0.1583738,NA,,,,,,,,,,,,,
,37608.02,6.8852168,-18796.99,5.84E-03,7,0.4988257,NA,0.098608355,NA,NA,0.3948329,-0.1584583,-0.000515725,,,,,,,,,,,,,
,37608.54,7.4040231,-18796.24,4.51E-03,8,1.4728195,-0.4111139,0.088093785,NA,-0.09783058,0.3915296,-0.1596884,NA,,,,,,,,,,,,,
,37608.63,7.4896603,-18796.28,4.32E-03,8,1.3963323,-0.421311,0.08561842,NA,NA,0.3917984,-0.1597839,-0.001117764,,,,,,,,,,,,,
,37609.21,8.0715039,-18797.58,3.23E-03,7,2.0266966,-0.5443302,NA,NA,NA,0.3936404,-0.1578892,-0.030383011,,,,,,,,,,,,,
,37609.26,8.1204468,-18797.6,3.15E-03,7,2.0385206,-0.5467885,NA,NA,-0.01092574,0.3936743,-0.1577468,NA,,,,,,,,,,,,,
,37609.47,8.330185,-18798.71,2.84E-03,6,0.942381,NA,NA,NA,NA,0.3976698,-0.1559708,-0.034000149,,,,,,,,,,,,,
,37609.51,8.374532,-18798.74,2.77E-03,6,0.9879794,NA,NA,NA,-0.04652317,0.3976155,-0.155785,NA,,,,,,,,,,,,,
,37609.87,8.734844,-18796.9,2.32E-03,8,0.6386765,NA,0.101383627,NA,-0.13740643,0.3943763,-0.1583839,-0.003581075,,,,,,,,,,,,,
,37610.56,9.4201644,-18796.24,1.65E-03,9,1.474476,-0.4109863,0.087908952,NA,-0.09830659,0.3915274,-0.1596985,-0.003343191,,,,,,,,,,,,,
,37611.22,10.084003,-18797.58,1.18E-03,8,2.0431117,-0.5432622,NA,NA,-0.01671941,0.3936008,-0.157868,-0.03087807,,,,,,,,,,,,,
,37611.46,10.320507,-18798.7,1.05E-03,7,1.0010355,NA,NA,NA,-0.05291861,0.3975435,-0.1559171,-0.035510063,,,,,,,,,,,,,
,37620.79,19.6560641,-18804.38,9.85E-06,6,3.1102015,-0.6053864,NA,-0.5600637,NA,NA,-0.1742613,NA,,,,,,,,,,,,,
,37621.81,20.6707622,-18803.88,5.93E-06,7,3.5019179,-0.5837151,NA,-0.618177,-0.3190219,NA,-0.1736628,NA,,,,,,,,,,,,,
,37622.22,21.0819617,-18806.1,4.83E-06,5,1.899833,NA,NA,-0.5558641,NA,NA,-0.1719151,NA,,,,,,,,,,,,,
,37622.76,21.6214417,-18804.35,3.69E-06,7,2.9757576,-0.58603,0.012650779,-0.5324649,NA,NA,-0.1745746,NA,,,,,,,,,,,,,
,37622.78,21.6431969,-18804.36,3.65E-06,7,3.1064078,-0.6031988,NA,-0.5579814,NA,NA,-0.1743623,-0.021194135,,,,,,,,,,,,,
,37623.05,21.9150707,-18805.51,3.18E-06,6,2.390846,NA,NA,-0.6216389,-0.36003273,NA,-0.1713252,NA,,,,,,,,,,,,,
,37623.77,22.6297577,-18803.85,2.23E-06,8,3.501641,-0.5800751,NA,-0.615901,-0.32359995,NA,-0.1738021,-0.031147849,,,,,,,,,,,,,
,37623.78,22.6367751,-18805.87,2.22E-06,6,1.6027571,NA,0.039219816,-0.470458,NA,NA,-0.1730232,NA,,,,,,,,,,,,,
,37623.78,22.6411609,-18803.86,2.21E-06,8,3.3722767,-0.5652746,0.012098941,-0.5916508,-0.31810506,NA,-0.1739687,NA,,,,,,,,,,,,,
,37624.19,23.0552566,-18806.08,1.80E-06,6,1.9004961,NA,NA,-0.553301,NA,NA,-0.1720279,-0.025897144,,,,,,,,,,,,,
,37624.64,23.4978904,-18805.29,1.44E-06,7,2.0969124,NA,0.037601343,-0.5386097,-0.3532776,NA,-0.1724154,NA,,,,,,,,,,,,,
,37624.76,23.6191326,-18804.35,1.36E-06,8,2.9842874,-0.5858723,0.011543256,-0.5331626,NA,NA,-0.174631,-0.017433577,,,,,,,,,,,,,
,37624.99,23.8524913,-18805.47,1.21E-06,7,2.3988111,NA,NA,-0.6189436,-0.36522316,NA,-0.1714754,-0.036602738,,,,,,,,,,,,,
,37625.71,24.5701342,-18807.84,8.44E-07,5,0.6471508,NA,0.102704252,NA,NA,NA,-0.1747224,NA,,,,,,,,,,,,,
,37625.75,24.6145793,-18803.83,8.26E-07,9,3.3908716,-0.5646836,0.010335029,-0.5935041,-0.32232306,NA,-0.1740491,-0.027686758,,,,,,,,,,,,,
,37625.78,24.6393536,-18805.86,8.15E-07,7,1.6097574,NA,0.038345335,-0.4710314,NA,NA,-0.1730609,-0.013666527,,,,,,,,,,,,,
,37625.97,24.8287963,-18806.96,7.42E-07,6,1.6395165,-0.466556,0.088300348,NA,NA,NA,-0.1760543,NA,,,,,,,,,,,,,
,37626.62,25.4787709,-18805.28,5.36E-07,8,2.1148054,NA,0.036009137,-0.540342,-0.35709722,NA,-0.1724763,-0.024681907,,,,,,,,,,,,,
,37626.81,25.669968,-18808.39,4.87E-07,5,2.2925342,-0.5969985,NA,NA,NA,NA,-0.1740461,NA,,,,,,,,,,,,,
,37627.5,26.3630227,-18807.73,3.44E-07,6,0.8052561,NA,0.106068885,NA,-0.15698723,NA,-0.174601,NA,,,,,,,,,,,,,
,37627.53,26.394532,-18809.76,3.39E-07,4,1.1045584,NA,NA,NA,NA,NA,-0.1721516,NA,,,,,,,,,,,,,
,37627.72,26.5811924,-18807.84,3.09E-07,6,0.6477084,NA,0.102626918,NA,NA,NA,-0.1747264,-0.001252178,,,,,,,,,,,,,
,37627.86,26.7246157,-18806.91,2.87E-07,7,1.7283613,-0.454631,0.091093982,NA,-0.11338153,NA,-0.1759309,NA,,,,,,,,,,,,,
,37627.98,26.8415223,-18806.96,2.71E-07,7,1.6402823,-0.4664637,0.088171706,NA,NA,NA,-0.1760614,-0.002272005,,,,,,,,,,,,,
,37628.76,27.6240232,-18808.36,1.83E-07,6,2.2913817,-0.5936895,NA,NA,NA,NA,-0.1741785,-0.032382456,,,,,,,,,,,,,
,37628.81,27.67626,-18808.39,1.79E-07,6,2.3154586,-0.5953633,NA,NA,-0.02374176,NA,-0.1740093,NA,,,,,,,,,,,,,
,37629.47,28.3356499,-18809.72,1.28E-07,5,1.1105488,NA,NA,NA,NA,NA,-0.1722849,-0.035631968,,,,,,,,,,,,,
,37629.51,28.3719968,-18809.74,1.26E-07,5,1.1737284,NA,NA,NA,-0.06273631,NA,-0.1720742,NA,,,,,,,,,,,,,
,37629.51,28.3747643,-18807.73,1.26E-07,7,0.8079846,NA,0.105798536,NA,-0.15764094,NA,-0.1746143,-0.004812276,,,,,,,,,,,,,
,37629.88,28.7381816,-18806.9,1.05E-07,8,1.7307087,-0.4544268,0.090827192,NA,-0.11406348,NA,-0.1759453,-0.004877901,,,,,,,,,,,,,
,37630,28.8586476,-18809.98,9.89E-08,5,1.6362723,NA,NA,-0.5581971,NA,0.4566608,NA,NA,,,,,,,,,,,,,
,37630.01,28.8717559,-18808.99,9.83E-08,6,2.5578549,-0.4603742,NA,-0.5616742,NA,0.4532335,NA,NA,,,,,,,,,,,,,
,37630.73,29.5889643,-18809.34,6.86E-08,6,2.1430085,NA,NA,-0.6260614,-0.37093607,0.4554988,NA,NA,,,,,,,,,,,,,
,37630.77,29.6293071,-18808.36,6.73E-08,7,2.3202139,-0.5915275,NA,NA,-0.02991423,NA,-0.1741357,-0.033284777,,,,,,,,,,,,,
,37630.9,29.7565687,-18808.42,6.31E-08,7,2.9784297,-0.437521,NA,-0.623941,-0.34133365,0.4522039,NA,NA,,,,,,,,,,,,,
,37631.45,30.3075937,-18809.7,4.79E-08,6,1.1875477,NA,NA,NA,-0.06952992,NA,-0.1722065,-0.037630862,,,,,,,,,,,,,
,37631.96,30.8256163,-18809.96,3.70E-08,6,1.5447303,NA,0.012085288,-0.531878,NA,0.4563356,NA,NA,,,,,,,,,,,,,
,37632,30.8576901,-18808.97,3.64E-08,7,2.6597958,-0.4750348,-0.009590339,-0.5826234,NA,0.4533935,NA,NA,,,,,,,,,,,,,
,37632.01,30.8668323,-18809.98,3.62E-08,6,1.6364618,NA,NA,-0.5575045,NA,0.4566554,NA,-0.007106598,,,,,,,,,,,,,
,37632.02,30.8846032,-18808.99,3.59E-08,7,2.5575607,-0.4601969,NA,-0.5615227,NA,0.4532327,NA,-0.001659846,,,,,,,,,,,,,
,37632.71,31.5675182,-18809.33,2.55E-08,7,2.0610812,NA,0.01051293,-0.6029026,-0.36920443,0.4552111,NA,NA,,,,,,,,,,,,,
,37632.72,31.5837691,-18809.34,2.53E-08,7,2.1469542,NA,NA,-0.6248119,-0.37349084,0.4554718,NA,-0.017611086,,,,,,,,,,,,,
,37632.88,31.7409516,-18808.41,2.34E-08,8,3.086177,-0.4528927,-0.010059112,-0.6460058,-0.34196436,0.4523751,NA,NA,,,,,,,,,,,,,
,37632.9,31.7633421,-18808.42,2.31E-08,8,2.9783534,-0.4361208,NA,-0.6231192,-0.34310537,0.4521874,NA,-0.011675617,,,,,,,,,,,,,
,37633.98,32.8380343,-18809.96,1.35E-08,7,1.5463695,NA,0.011880188,-0.5320133,NA,0.45634,NA,-0.003213937,,,,,,,,,,,,,
,37634.01,32.8712087,-18808.97,1.33E-08,8,2.6621095,-0.4749793,-0.009895682,-0.5828063,NA,0.4533981,NA,-0.004833293,,,,,,,,,,,,,
,37634.71,33.570567,-18809.32,9.38E-09,8,2.0712378,NA,0.009599626,-0.6038494,-0.37134551,0.4552166,NA,-0.01434023,,,,,,,,,,,,,
,37634.88,33.7440555,-18808.4,8.60E-09,9,3.0965927,-0.452572,-0.01103647,-0.6470613,-0.34436443,0.4523714,NA,-0.01532288,,,,,,,,,,,,,
,37634.97,33.8267534,-18812.47,8.25E-09,5,0.4660178,NA,0.083587604,NA,NA,0.4537557,NA,NA,,,,,,,,,,,,,
,37635.49,34.3540636,-18813.74,6.34E-09,4,0.8383811,NA,NA,NA,NA,0.4554047,NA,NA,,,,,,,,,,,,,
,37635.92,34.7861757,-18812.95,5.11E-09,5,1.7415325,-0.4535713,NA,NA,NA,0.4526193,NA,NA,,,,,,,,,,,,,
,37636.04,34.9055709,-18812,4.81E-09,6,1.2017466,-0.3455623,0.072880102,NA,NA,0.4516969,NA,NA,,,,,,,,,,,,,
,37636.78,35.6419455,-18812.37,3.33E-09,6,0.6175829,NA,0.086833435,NA,-0.15032237,0.4532127,NA,NA,,,,,,,,,,,,,
,37636.97,35.8322365,-18812.47,3.03E-09,6,0.461694,NA,0.084183241,NA,NA,0.4537516,NA,0.010029086,,,,,,,,,,,,,
,37637.46,36.3204981,-18813.72,2.37E-09,5,0.9182492,NA,NA,NA,-0.07232239,0.4551957,NA,NA,,,,,,,,,,,,,
,37637.48,36.3435563,-18813.73,2.34E-09,5,0.8415236,NA,NA,NA,NA,0.4553987,NA,-0.01883555,,,,,,,,,,,,,
,37637.92,36.7812772,-18812.94,1.88E-09,6,1.7838254,-0.4506667,NA,NA,-0.04352906,0.4525061,NA,NA,,,,,,,,,,,,,
,37637.92,36.7850577,-18812.94,1.88E-09,6,1.740955,-0.4520446,NA,NA,NA,0.4526142,NA,-0.014757978,,,,,,,,,,,,,
,37637.93,36.7947633,-18811.94,1.87E-09,7,1.2952142,-0.3330894,0.075830978,NA,-0.11900964,0.451333,NA,NA,,,,,,,,,,,,,
,37638.05,36.9128805,-18812,1.76E-09,7,1.1977292,-0.3457091,0.073472034,NA,NA,0.4516965,NA,0.010044528,,,,,,,,,,,,,
,37638.79,37.652336,-18812.37,1.22E-09,7,0.6137957,NA,0.087217977,NA,-0.14947212,0.4532135,NA,0.006831775,,,,,,,,,,,,,
,37639.45,38.3072811,-18813.7,8.78E-10,6,0.9259512,NA,NA,NA,-0.07613149,0.4551766,NA,-0.020962899,,,,,,,,,,,,,
,37639.92,38.7797584,-18812.93,6.93E-10,7,1.7860885,-0.4487703,NA,NA,-0.04656494,0.4524919,NA,-0.016112493,,,,,,,,,,,,,
,37639.94,38.8064781,-18811.94,6.84E-10,8,1.2915268,-0.3333381,0.076246882,NA,-0.11802816,0.4513341,NA,0.007490717,,,,,,,,,,,,,
,37656.91,55.7690908,-18823.44,1.42E-13,5,2.8218966,-0.5073057,NA,-0.5535572,NA,NA,NA,NA,,,,,,,,,,,,,
,37657.34,56.20267,-18824.66,1.14E-13,4,1.8080586,NA,NA,-0.5497907,NA,NA,NA,NA,,,,,,,,,,,,,
,37657.66,56.5224056,-18822.81,9.73E-14,6,3.2621484,-0.4831935,NA,-0.6188369,-0.35792395,NA,NA,NA,,,,,,,,,,,,,
,37657.92,56.7851714,-18823.95,8.53E-14,5,2.3416871,NA,NA,-0.6213188,-0.39100041,NA,NA,NA,,,,,,,,,,,,,
,37658.91,57.7702624,-18823.43,5.21E-14,6,2.8834981,-0.5161897,-0.005785895,-0.5661821,NA,NA,NA,NA,,,,,,,,,,,,,
,37658.92,57.7798242,-18823.44,5.19E-14,6,2.8213961,-0.5070235,NA,-0.5532978,NA,NA,NA,-0.00262034,,,,,,,,,,,,,
,37659.25,58.1160179,-18824.61,4.39E-14,5,1.6730403,NA,0.017797902,-0.5110273,NA,NA,NA,NA,,,,,,,,,,,,,
,37659.35,58.2080581,-18824.66,4.19E-14,5,1.8082662,NA,NA,-0.5489971,NA,NA,NA,-0.008114384,,,,,,,,,,,,,
,37659.66,58.5233625,-18822.8,3.58E-14,7,3.3293859,-0.4928018,-0.006272625,-0.6325819,-0.35829667,NA,NA,NA,,,,,,,,,,,,,
,37659.66,58.5248164,-18822.81,3.57E-14,7,3.2620766,-0.4816307,NA,-0.6178847,-0.35993303,NA,NA,-0.013278755,,,,,,,,,,,,,
,37659.85,58.7147605,-18823.91,3.25E-14,6,2.2155224,NA,0.01614981,-0.5857001,-0.38828637,NA,NA,NA,,,,,,,,,,,,,
,37659.91,58.7742196,-18823.94,3.16E-14,6,2.3459637,NA,NA,-0.6199371,-0.39378438,NA,NA,-0.019316304,,,,,,,,,,,,,
