"","X","spp","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file"
"11",112,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Florida Bay",25.037202,-80.725444,NA,"1996","control region",30,"470",NA,NA,0.043,NA,"mtdna102"
"12",113,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Fort Walton",30.426693,-86.583054,NA,"1997","control region",25,"470",NA,NA,0.034,NA,"mtdna102"
"13",114,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Indian River",27.691957,-80.351466,NA,"1999","control region",36,"470",NA,NA,0.034,NA,"mtdna102"
"14",115,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Morehead City",34.715791,-76.72042,NA,"1999","control region",36,"470",NA,NA,0.033,NA,"mtdna102"
"15",116,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","St. Johns River",30.40297,-81.395411,NA,"2001","control region",29,"470",NA,NA,0.031,NA,"mtdna102"
"16",117,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","St. Simmons & Cumberland Islands",31.001457,-81.3979225,NA,"1998","control region",31,"470",NA,NA,0.031,NA,"mtdna102"
"17",118,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Steinhatchee",29.67132,-83.392316,NA,"1999","control region",28,"470",NA,NA,0.042,NA,"mtdna102"
"18",119,"Archosargus probatocephalus","Sheepshead","Seyoum et al. 2017 Bull. Mar. Sci. 93:691-713","USA","Tampa Bay",27.739577,-82.59122,NA,"1999","control region",38,"470",NA,NA,0.039,NA,"mtdna102"
"19",140,"Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","Louisiana",27,-91,"GTRIGGM","2008.5","ND4",29,"617",0.81505,NA,0.00345,NA,"mtdna101"
"20",141,"Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South-eastern Florida",26.0833333333333,-80,NA,"2008.5","ND4",29,"617",0.90726,NA,0.00403,NA,"mtdna101"
"21",142,"Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South Carolina",33.0833333333333,-79,NA,"2008.5","ND4",29,"617",0.88736,NA,0.00393,NA,"mtdna101"
"22",143,"Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","South Texas",26.0188888888889,-97.0011111111111,"GTRIGGM","2008.5","ND4",29,"617",0.89195,NA,0.00451,NA,"mtdna101"
"23",144,"Balistes capriscus","Grey triggerfish","Antoni et al. 2011 North American Journal of Fisheries 31:714-721","USA","West Florida",30.150349,-86.485161,"GTRIGGM","2008.5","ND4",29,"617",0.87957,NA,0.003386,NA,"mtdna101"
"24",165,"Beryx decadactylus","Alfonsino","Friess & Sedberry 2011 Journal of Fish Biology 78:466-478","United States","Charleston Bump ",32.0936,-75.9942,NA,"2005","control region",141,"403",0.799,NA,0.0041,NA,"mtdna101"
"25",240,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","CT",41.1,-72.8,"BSBASSMATLC","","control region",13,"342",0.641,0.041602515,0.002,0.0005547,"mtdna101"
"26",241,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","FL",27.7,-80.4,NA,"","control region",53,"342",0.861,0.005494423,0.007,0.000686803,"mtdna101"
"27",242,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","GA",31.6,-80.7,NA,"","control region",40,"342",0.887,0.006798897,0.008,0.000790569,"mtdna101"
"28",243,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","GoM",29.5,-84.7,NA,"","control region",57,"342",0.999,0.000529813,0.015,0.001059626,"mtdna101"
"29",244,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","NC",34.3,-77.4,NA,"","control region",56,"342",0.87,0.005077964,0.006,0.000534522,"mtdna101"
"30",245,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","NJ",39.5,-73.8,"BSBASSMATLC","","control region",28,"342",0.442,0.021921939,0.003,0.000377964,"mtdna101"
"31",246,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","OI",35.8,-75.4,"BSBASSMATLC","","control region",8,"342",0.25,0.06363961,0.001,0.000353553,"mtdna101"
"32",247,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","SC32",32.3,-79.7,NA,"","control region",39,"342",0.815,0.009767817,0.006,0.000640513,"mtdna101"
"33",248,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","SC33",33.3,-78.7,NA,"","control region",40,"342",0.846,0.008063808,0.005,0.000474342,"mtdna101"
"34",249,"Centropristis striata","Black seabass","Roy et. al 2012 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Service 4:391-402","USA","VA",36.9,-75.5,"BSBASSMATLC","","control region",30,"342",0.361,0.019900586,0.002,0.000365148,"mtdna101"
"35",380,"Clupea pallasii pallasii","Pacific herring","Grant et al. 2012 Molecular Phylogenetics and Evolution 65:203-212","United States","Coastal Washington, NE Pacific ",47.7511,-124.6,NA,"2005","control region",84,"463",0.98,0.000872872,0.0238,0.001320218,"mtdna101"
"36",412,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","AB",28,-96.9,NA,"2003-2005","control region",42,"373",0.89,NA,0.006,NA,"mtdna101"
"37",413,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","CC",27.7,-97.2,NA,"2003-2005","control region",42,"373",0.89,NA,0.007,NA,"mtdna101"
"38",414,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","EM",28.69,-95.8,NA,"2003-2005","control region",28,"373",0.92,NA,0.007,NA,"mtdna101"
"39",415,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","LL",26.3,-97.27,NA,"2003-2005","control region",27,"373",0.89,NA,0.007,NA,"mtdna101"
"40",416,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","MB",28.4,-96.35,NA,"2003-2005","control region",27,"373",0.94,NA,0.007,NA,"mtdna101"
"41",417,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","SB",28.27,-96.7,NA,"2003-2005","control region",40,"373",0.9,NA,0.007,NA,"mtdna101"
"42",418,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","SL",29.8,-93.8,NA,"2003-2005","control region",44,"373",0.75,NA,0.005,NA,"mtdna101"
"43",419,"Cynoscion nebulosus","Spotted weakfish","Anderson and Karel 2009 Marine and Coastal Fisheries: Dynamics, Management, and Ecosystem Science 1:121-132","USA","UL",27.25,-97.4,NA,"2003-2005","control region",30,"373",0.87,NA,0.006,NA,"mtdna101"
"44",530,"Engraulis eurystole","Silver anchovy","Silva, Horne & Castilho 2014 J. Biogeogr. 41:1171-1182","USA","USA",41.5,-66.1,NA,"2006","cytb",12,"1045",0.909,NA,0.004,NA,"mtdna102"
"45",617,"Epinephelus itajara","Atlantic goliath grouper","Craig et. al 2008 Endangered Species Research Preprint 1-8","USA","Florida",25.9166666666667,-81.6333333333333,NA,"","16S",30,"590",0.303,NA,6e-04,NA,"mtdna101"
"46",638,"Epinephelus striatus","Nassau grouper","Jackson et al. 2014 PLoS ONE 9:e97508","USA","Florida Keys",24.766114,-80.982893,NA,"1994","ATPase, cytb",31,"1419",0.817,NA,0.0011,NA,"mtdna102"
"47",716,"Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Coastal Washington",47.0847222222222,-125.050833333333,NA,"2005","ND2, cytb",37,"1509",0.9745,NA,0.003,NA,"mtdna101"
"48",719,"Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Puget Sound",47.583333,-122.5,NA,"2006","ND2, cytb",32,"1509",0.9456,NA,0.004,NA,"mtdna101"
"49",720,"Gadus macrocephalus","Pacific cod","Canino et al. 2010 Molecular Ecology 19:4339-4351","USA","Strait of Georgia",48.9,-123.1,"PCODWCVANI","2003","ND2, cytb",35,"1509",0.9529,NA,0.004,NA,"mtdna101"
"50",724,"Gadus macrocephalus","Pacific cod","Liu et al. 2010 Journal of Fish Biology 77:1071-1082 ","Northwestern Pacific Ocean ","Gulf of Georgia",49.17593,-123.620235,NA,"2003","control region",20,"452",0.42,0.12,0.00022,0.00044,"mtdna101"
"51",750,"Gadus morhua","Atlantic cod","Lait, Marshall & Carr 2018 Ecology and Evolution 8:6420-6437","USA","Georges Bank",41.066253,-68.564823,NA,"1995","mitogenome",10,"16575",1,NA,0.0022,NA,"mtdna102"
"52",774,"Ginglymostoma cirratum","Nurse shark","Karl et al. 2012 Marine Biology 159:489-498","USA","FLD",29.380941,-83.199384,NA,"","control region, cytochrome c oxidase subunit I",37,"1166",0.16,0.0132,1e-04,3.3e-05,"mtdna101"
"53",881,"Hippocampus ingens","Pacific seahorse","Saarman et. al 2010 Conservation Genetics 11:1989-2000","USA","San Diego",34.18,-119.93,NA,"","control region",18,"428",0.471,NA,0.0011,NA,"mtdna101"
"54",907,"Holocentrus adscensionis","Squirrelfish","Bowen et al. 2006 Marine Biology 149:899-913","USA","Florida",25.086,-81.841437,NA,"1990-1997","cytb",7,"769",1,NA,0.005,NA,"mtdna101"
"55",990,"Leuresthes tenuis","California grunion","Johnson et al. 2009 Copeia 3: 465-474","United States","Crown Memorial State Beach, CA (SF)",37.75,-122.25,NA,"2006","control region",21,"957",0.895,0.0133,0.002,0.000218,"mtdna101"
"56",991,"Leuresthes tenuis","California grunion","Johnson et al. 2009 Copeia 3: 465-474","United States","Doheny State Beach, CA (OC)",33.45,-117.6833,NA,"2006","control region",12,"957",0.939,0.0167,0.002,0.000289,"mtdna101"
"57",992,"Leuresthes tenuis","California grunion","Johnson et al. 2009 Copeia 3: 465-474","United States","Malibu Lagoon State Beach, CA (LA)",34.0333333333333,-118.6667,NA,"2006","control region",17,"957",0.846,0.0216,0.002,0.000243,"mtdna101"
"58",1014,"Lutjanus analis","Mutton snapper","Carson et al. 2011 Fishery Bulletin 109:416-428","USA","Florida Keys",24.628389,-81.94968,"MUTSNAPSATLCGM","2008","ND4",27,"590",0.835,NA,0.003,NA,"mtdna101"
"59",1097,"Lutjanus synagris","Lane snapper","Gold et al. 2011 North American Journal of Fisheries Management 31:209-223","United States","Florida Keys (Marathon)",24.7556,-81.1231,NA,"2008","ND4",32,"590",NA,NA,0.0046,NA,"mtdna101"
"60",1117,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Broad Cove, ME",44.02,-69.24,NA,"2005.5","D-loop",39,"340",0.33,NA,0.001,NA,"mtdna101"
"61",1118,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Folly Beach, SC",32.43,-79.05,NA,"2006","D-loop",15,"340",0.86,NA,0.005,NA,"mtdna101"
"62",1119,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Hatteras Inlet, NC",35.11,-75.42,NA,"2006","D-loop",23,"340",0.45,NA,0.002,NA,"mtdna101"
"63",1120,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Jekyll Island, GA",31.03,-81.26,NA,"2006","D-loop",24,"340",0.7,NA,0.004,NA,"mtdna101"
"64",1122,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Kittery Point, ME",43.05,-70.4,NA,"2006","D-loop",22,"340",0.55,NA,0.002,NA,"mtdna101"
"65",1123,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Little River, SC",33.52,-78.36,NA,"2005","D-loop",20,"340",0.84,NA,0.005,NA,"mtdna101"
"66",1126,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Morehead City, NC",34.43,-76.41,NA,"2005.5","D-loop",39,"340",0.58,NA,0.002,NA,"mtdna101"
"67",1127,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Mt. Desert Island, ME",44.26,-68.2,NA,"2006","D-loop",23,"340",0.25,NA,0.001,NA,"mtdna101"
"68",1128,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Narragansett Bay, RI",41.38,-71.24,NA,"2006","D-loop",21,"340",0.82,NA,0.004,NA,"mtdna101"
"69",1129,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Oregon Inlet, NC",35.47,-75.31,NA,"2006","D-loop",23,"340",0.8,NA,0.004,NA,"mtdna101"
"70",1130,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Patchogue, NJ",40.45,-73,NA,"2005.5","D-loop",34,"340",0.73,NA,0.004,NA,"mtdna101"
"71",1131,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Patterson Park, MD",38.24,-76.31,NA,"2006","D-loop",23,"340",0.46,NA,0.002,NA,"mtdna101"
"72",1132,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Pawleys Island, SC",33.24,-79.08,NA,"2006","D-loop",23,"340",0.85,NA,0.004,NA,"mtdna101"
"73",1133,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Sandy Hook, NJ",40.25,-73.59,NA,"2006","D-loop",23,"340",0.63,NA,0.003,NA,"mtdna101"
"74",1134,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Sandy Pt Park, MD",39.01,-76.24,NA,"2006","D-loop",24,"340",0.5,NA,0.002,NA,"mtdna101"
"75",1135,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Silver Beach, VA",37.29,-75.57,NA,"2005.5","D-loop",33,"340",0.54,NA,0.002,NA,"mtdna101"
"76",1136,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","St. Andrews, NB",45.05,-67.04,NA,"2005.5","D-loop",39,"340",0.31,NA,0.001,NA,"mtdna101"
"77",1137,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","St. Augustine Beach, FL",29.41,-81.15,NA,"2005","D-loop",19,"340",0.6,NA,0.003,NA,"mtdna101"
"78",1138,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","St. John, NB",45.13,-66.08,NA,"2006","D-loop",19,"340",0.11,NA,0.001,NA,"mtdna101"
"79",1139,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Tuckerton, NJ",39.24,-74.2,NA,"2005.5","D-loop",25,"340",0.64,NA,0.004,NA,"mtdna101"
"80",1140,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Tybee Island, GA",32,-80.57,NA,"2005.5","D-loop",39,"340",0.76,NA,0.004,NA,"mtdna101"
"81",1141,"Menidia menidia","Atlantic silverside","Mach et al. 2011 Marine Biology 158:515-530 ","USA","Waquoit Bay, MA",41.35,-70.31,NA,"2005.5","D-loop",36,"340",0.5,NA,0.002,NA,"mtdna101"
"82",1149,"Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-C",37.5,-74,NA,"2003","control region",28,"900",0.548,0.114,0.0669,NA,"mtdna101"
"83",1150,"Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-N",40,-70,NA,"2003","control region",27,"900",0.655,0.105,0.0798,NA,"mtdna101"
"84",1151,"Merluccius albidus","Offshore silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Ma-S",35.5,-74.5,NA,"2003","control region",35,"900",0.694,0.081,0.0793,NA,"mtdna101"
"85",1152,"Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-CN",41,-69,"SHAKEGOMNGB","2003","control region",117,"900",0.827,0.022,0.0044,NA,"mtdna101"
"86",1153,"Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-CS",39.5,-72,"SHAKESGBMATL","2003","control region",32,"900",0.699,0.055,0.0029,NA,"mtdna101"
"87",1154,"Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-N",43,-66.5,"SHAKEGOMNGB","2003","control region",29,"900",0.855,0.051,0.0047,NA,"mtdna101"
"88",1155,"Merluccius bilinearis","Silver hake","Machado-Schiaffino et al. 2010 Molecular Phylogenetics and Evolution 55:552-558","USA","Mb-S",37.5,-74,"SHAKESGBMATL","2003","control region",30,"900",0.637,0.054,0.0024,NA,"mtdna101"
"89",1165,"Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Apalachicola",29.719077,-84.968155,NA,"2016","control region",36,"424",0.983,NA,0.016,NA,"mtdna102"
"90",1166,"Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Bay St. Louis",30.30666,-89.311634,NA,"2016","control region",35,"424",0.966,NA,0.013,NA,"mtdna102"
"91",1167,"Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Cedar Lakes",28.827367,-95.528208,NA,"2016","control region",66,"424",0.976,NA,0.015,NA,"mtdna102"
"92",1168,"Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Jacksonville",30.403458,-81.38047,NA,"2016","control region",30,"424",0.926,NA,0.012,NA,"mtdna102"
"93",1169,"Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Laguna Madre",26.726098,-97.43534,NA,"2016","control region",63,"424",0.97,NA,0.012,NA,"mtdna102"
"94",1170,"Micropogonias undulatus","Atlantic croaker","Anderson, O'Leary & Cooper 2019 Marine and Coastal Fisheries: Dynamics, Management and Ecosystem Science 11:3-16","USA","Sabine Lake",29.913284,-93.845511,NA,"2016","control region",45,"424",0.972,NA,0.013,NA,"mtdna102"
"95",1171,"Microstomus pacificus","Dover sole","Stepien 1999","USA","Cape Mendocino, Northern California",40,-124,"DSOLEPCOAST","","control region",19,"471",0.98,NA,0.011,NA,"mtdna101"
"96",1236,"Myripristis jacobus","Blackbar soldierfish","Bowen et al. 2006 Marine Biology 149:899-913","USA","Florida",25.086,-81.841437,NA,"1990-1997","cytb",10,"744",0.978,NA,0.004,NA,"mtdna101"
"97",1253,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Bodega Bay, California",38.334,-123.096967,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",47,"548",NA,NA,0.003,NA,"mtdna101"
"98",1254,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Eureka, California",40.820319,-124.225185,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",40,"548",NA,NA,0.003,NA,"mtdna101"
"99",1256,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Monterey Bay, California",36.614,-122.153004,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",12,"548",NA,NA,0.004,NA,"mtdna101"
"100",1257,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Point Defiance, Washington",47.413,-122.377085,"LINGCODNPCOAST","1999","cytochrome c oxidase subunit I",15,"548",NA,NA,0.004,NA,"mtdna101"
"101",1258,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","San Francisco, California",37.818,-122.544719,"LINGCODSPCOAST","2000","cytochrome c oxidase subunit I",30,"548",NA,NA,0.003,NA,"mtdna101"
"102",1259,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","San Juan Islands, Washington",48.517,-122.953711,"LINGCODNPCOAST","1999","cytochrome c oxidase subunit I",20,"548",NA,NA,0.002,NA,"mtdna101"
"103",1260,"Ophiodon elongatus","Lingcod","Markos Rogers-Bennet Dennis 2007","USA","Straits of Juan de Fuca, Washington",48.316,-123.28435,"LINGCODNPCOAST","1999","cytochrome c oxidase subunit I",16,"548",NA,NA,0.001,NA,"mtdna101"
"104",1263,"Opistognathus aurifrons","Yellowhead jawfish","Ho et al. 2012 Marine Ecology Progress Series 444:275-287","United States","South Florida ",25.349,-80.259,NA,"2009","control region, cytochrome c oxidase subunit I",15,"1029",1,NA,0.01007,NA,"mtdna101"
"105",1295,"Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA","Gulf of Mexico/Louisiana",29.9,-88.535012,NA,"1999","control region",46,"526",0.987,0.01,0.01,0.006,"mtdna101"
"106",1296,"Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA","Gulf of Mexico/Panama City, FL",30.155,-85.857669,NA,"2003","control region",20,"526",0.984,0.024,0.008,0.005,"mtdna101"
"107",1297,"Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA, Western North Atlantic","Georgia",31.5,-80.844436,"RPORGYSATLC","2000-2002","control region",20,"526",1,0.016,0.008,0.005,"mtdna101"
"108",1298,"Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA, Western North Atlantic","North Carolina",34.5,-76.254793,"RPORGYSATLC","1999-2002","control region",49,"526",0.991,0.007,0.011,0.006,"mtdna101"
"109",1299,"Pagrus pagrus","Red porgy","Ball et al. 2007 Mar Biol 150:1321-1332","USA, Western North Atlantic","South Carolina",33,-78.7278,"RPORGYSATLC","1996-2002","control region",60,"526",0.996,0.004,0.01,0.005,"mtdna101"
"110",1323,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Agua Hedionda",33.141301,-117.343668,NA,"","cytb",14,"700",0.9231,NA,0.003566,NA,"mtdna101"
"111",1324,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Half Moon Bay",37,-123,NA,"","cytb",17,"700",0.8824,NA,0.002894,NA,"mtdna101"
"112",1325,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Los Angeles",33.854146,-118.604253,NA,"","cytb",26,"700",0.7785,NA,0.002548,NA,"mtdna101"
"113",1326,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Mission Bay",32.780676,-117.246316,NA,"","cytb",38,"700",0.8192,NA,0.003116,NA,"mtdna101"
"114",1327,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","Oceanside Harbor",33.208387,-117.397507,NA,"","cytb",31,"700",0.7269,NA,0.002078,NA,"mtdna101"
"115",1328,"Paralichthys californicus","California flounder","Craig et al. 2011 Bulletin, Southern California Academy of Sciences 110:141-151","USA","San Diego",32.74804,-117.305393,NA,"","cytb",30,"700",0.6805,NA,0.002093,NA,"mtdna101"
