"","spp","X.x","fbsci","maxlength","mortalitywild","fecundity","fecundity_mean","maturitylength","maturitylength_mean","maturityage","maturityage_mean","numberofspawningcycles","reproductiveseasonlength","fertilization","reproductionmode","spawningground","batchspawner","parentalcare","larvaesize","larvae_mean","X.y","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file"
"14","Acanthocybium solandri",2,"Acanthocybium solandri",250,NA,"6.00E+06",6e+06,"c(NA, NA, 85, NA, 86, NA)",85.5,"c(NA, 1, NA, NA, 1, 1)",1,NA,NA,"external","dioecism","c(NA, NA, NA, NA, NA, NA)",0,3,NA,NA,14,"Wahoo","Garber, Tringali & Franks 2005","USA","Central Pacific Ocean off Hawaiian Islands",22,-158,NA,"2000","control region",40,"890",1,NA,0.055,NA,"mtdna101"
"15","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,15,"Blackhead seabream","Jean et al. 1998","Taiwan","Fulung",25.066,121.133333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",7,"717",0.8792,NA,0.00381,NA,"mtdna101"
"16","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,16,"Blackhead seabream","Jean et al. 1998","Taiwan","Matsu",26.164,120,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00399,NA,"mtdna101"
"17","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,17,"Blackhead seabream","Jean et al. 1998","Taiwan","Penghu",23.554,119.083333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00269,NA,"mtdna101"
"18","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,18,"Blackhead seabream","Jean et al. 1998","Taiwan","Taihsi",23.655,120.033333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.8485,NA,0.00232,NA,"mtdna101"
"19","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,19,"Blackhead seabream","Jean et al. 1998","Taiwan","Tanshui",25.165,121.033333333333,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.9091,NA,0.00232,NA,"mtdna101"
"20","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,20,"Blackhead seabream","Jean et al. 1998","Taiwan","Tungkang",22.447,120.1,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.7879,NA,0.00316,NA,"mtdna101"
"21","Acanthopagrus schlegelii",3,"Acanthopagrus schlegelii",50,NA,NA,NA,"c(29, 10.1, NA)",19.55,"c(NA, NA, NA)",NA,"one clear seasonal peak per year","3.2 months","external","protandry","c(""coastal"", ""coastal"", ""coastal"", NA, ""coastal"")",0,3,"2",2,21,"Blackhead seabream","Jean et al. 1998","Taiwan","Wuchi",24.187,120.1,NA,"","5' D-loop, 3' D-loop, tRNAPhe, 5' 12S rRNAPhe",6,"717",0.8485,NA,0.00274,NA,"mtdna101"
"22","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,22,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Costa Rica","Cocos Islands",5.08361111111111,87.0019444444444,NA,"2008","cytb",32,"694",0.88,0.04,0.003,0.0019,"mtdna101"
"23","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,23,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","French Polynesia","Moorea",-17.0841666666667,149.134166666667,NA,"2008","cytb",31,"694",0.78,0.08,0.003,0.0019,"mtdna101"
"24","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,24,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Christmas Island",-10.0688888888889,105.100833333333,NA,"2008","cytb",51,"694",0.85,0.03,0.0025,0.0016,"mtdna101"
"25","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,25,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Diego Garcia",-7.05027777777778,72.0669444444444,NA,"2008","cytb",32,"694",0.85,0.05,0.003,0.0017,"mtdna101"
"26","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,26,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Indian Ocean","Seychelles",-4.10027777777778,55.0680555555556,NA,"2008","cytb",32,"694",0.72,0.07,0.0017,0.0012,"mtdna101"
"27","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,27,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Pacific Ocean","Kiritimati",1.135,-157.066666666667,NA,"2008","cytb",35,"694",0.89,0.04,0.0032,0.002,"mtdna101"
"28","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,28,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","South Pacific Ocean","Fiji",-18,179,NA,"2008","cytb",30,"694",0.91,0.03,0.0031,0.002,"mtdna101"
"29","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,29,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","French Frigate Shoals",23.1177777777778,-166.017777777778,NA,"2006","cytb",33,"694",0.72,0.08,0.0021,0.0013,"mtdna101"
"30","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,30,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Gardner Pinnacles",24.1525,-167.1525,NA,"2006","cytb",25,"694",0.72,0.08,0.0021,0.0014,"mtdna101"
"31","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,31,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Hawaii Island",19.085,-155.083333333333,NA,"2006","cytb",33,"694",0.65,0.09,0.0022,0.0015,"mtdna101"
"32","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,32,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Kauai",22.0022222222222,-159.083333333333,NA,"2006","cytb",26,"694",0.81,0.06,0.0023,0.0015,"mtdna101"
"33","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,33,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Maui",20.1333333333333,-156.050833333333,NA,"2006","cytb",36,"694",0.77,0.06,0.003,0.0018,"mtdna101"
"34","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,34,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Molokai",21.0175,-157.000833333333,NA,"2006","cytb",29,"694",0.71,0.08,0.0024,0.0016,"mtdna101"
"35","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,35,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Nihoa",23.0016666666667,-161.150555555556,NA,"2006","cytb",40,"694",0.73,0.06,0.0026,0.0016,"mtdna101"
"36","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,36,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Oahu",21.0683333333333,-157.152222222222,NA,"2006","cytb",39,"694",0.7,0.07,0.0019,0.0013,"mtdna101"
"37","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,37,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Pearl & Hermes Reef",27.1333333333333,-175.134722222222,NA,"2006","cytb",20,"694",0.87,0.06,0.0045,0.0027,"mtdna101"
"38","Acanthurus nigrofuscus",4,"Acanthurus nigrofuscus",21,NA,NA,NA,"c(13, 10)",11.5,"c(NA, NA)",NA,"one clear seasonal peak per year",NA,"external","dioecism","coastal",-1,3,NA,NA,38,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Western Pacific Ocean","Palau",7.05138888888889,134.068333333333,NA,"2008","cytb",36,"694",0.9,0.03,0.0028,0.0018,"mtdna101"
"39","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,39,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","American Samoa",-14.05,-170,NA,"2007","cytb",23,"797",0.94,0.034,0.0054,0.0031,"mtdna101"
"40","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,40,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Line Islands",-2,-156.083333333333,NA,"2007","cytb",24,"797",0.95,0.029,0.0053,0.0031,"mtdna101"
"41","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,41,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Marshall Islands",7.00166666666667,-171.035,NA,"2007","cytb",19,"797",1,0.017,0.0065,0.0037,"mtdna101"
"42","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,42,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Society Islands",-17.0841666666667,-149.134166666667,NA,"2007","cytb",32,"797",0.98,0.012,0.0073,0.004,"mtdna101"
"43","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,43,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","French Frigate Shoals",23.1177777777778,-166.017777777778,NA,"2007","cytb",33,"797",0.42,0.1,0.00064,0.00062,"mtdna101"
"44","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,44,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Gardner Pinnacles",24.1525,-167.1525,NA,"2007","cytb",27,"797",0.57,0.061,8e-04,0.00072,"mtdna101"
"45","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,45,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Hawaii, Big Island",19.085,-155.083333333333,NA,"2007","cytb",32,"797",0.66,0.085,0.0012,0.00094,"mtdna101"
"46","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,46,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Johnston Atoll",16.1180555555556,-169.083611111111,NA,"2007","cytb",34,"797",0.22,0.093,0.00037,0.00044,"mtdna101"
"47","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,47,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kauai",22.0022222222222,-159.083333333333,NA,"2007","cytb",34,"797",0.27,0.092,4e-04,0.00047,"mtdna101"
"48","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,48,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kure Atoll",28.0669444444444,-178.050833333333,NA,"2007","cytb",41,"797",0.31,0.093,0.00054,0.00056,"mtdna101"
"49","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,49,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Laysan Island",25.1183333333333,-171.1175,NA,"2007","cytb",46,"797",0.58,0.069,0.00086,0.00074,"mtdna101"
"50","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,50,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Lisianski Island",26.0016666666667,-173.151666666667,NA,"2007","cytb",39,"797",0.58,0.082,0.001,0.00083,"mtdna101"
"51","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,51,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Maro Reef",25.0669444444444,-170.085833333333,NA,"2007","cytb",35,"797",0.62,0.064,0.00095,8e-04,"mtdna101"
"52","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,52,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Midway Island",28.0333333333333,-177.051388888889,NA,"2007","cytb",30,"797",0.58,0.08,0.00097,0.00081,"mtdna101"
"53","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,53,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Nihoa",23.0016666666667,-161.150555555556,NA,"2007","cytb",32,"797",0.63,0.091,0.00086,0.00075,"mtdna101"
"54","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,54,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Oahu",21.0683333333333,-157.152222222222,NA,"2007","cytb",29,"797",0.54,0.093,0.00082,0.00073,"mtdna101"
"55","Acanthurus nigroris",5,"Acanthurus nigroris",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,"external","dioecism",NA,0,2,NA,NA,55,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Pearl & Hermes Reef",27.1333333333333,-175.134722222222,NA,"2007","cytb",29,"797",0.64,0.057,0.00096,0.00081,"mtdna101"
"56","Acanthurus triostegus",6,"Acanthurus triostegus",27,NA,"192145",192145,"c(NA, NA)",NA,"c(1, NA)",1,NA,"4 months","external","dioecism","coastal",0,1,"1.7",1.7,56,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Kenya","Kiunga",-1.746577,41.49137,NA,"2015","ATPase 6, 8",9,"842",0.92,NA,0.006,NA,"mtdna102"
"57","Acanthurus triostegus",6,"Acanthurus triostegus",27,NA,"192145",192145,"c(NA, NA)",NA,"c(1, NA)",1,NA,"4 months","external","dioecism","coastal",0,1,"1.7",1.7,57,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Kenya","Mobasa",-4.067377,39.702996,NA,"2015","ATPase 6, 8",6,"842",1,NA,0.008,NA,"mtdna102"
"58","Acanthurus triostegus",6,"Acanthurus triostegus",27,NA,"192145",192145,"c(NA, NA)",NA,"c(1, NA)",1,NA,"4 months","external","dioecism","coastal",0,1,"1.7",1.7,58,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Madagascar","Anakao",-23.655027,43.641767,NA,"2015","ATPase 6, 8",9,"842",0.89,NA,0.005,NA,"mtdna102"
"59","Acanthurus triostegus",6,"Acanthurus triostegus",27,NA,"192145",192145,"c(NA, NA)",NA,"c(1, NA)",1,NA,"4 months","external","dioecism","coastal",0,1,"1.7",1.7,59,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Tanzania","Dar Es Salaam",-6.749797,39.300974,NA,"2015","ATPase 6, 8",7,"842",1,NA,0.009,NA,"mtdna102"
"60","Acanthurus triostegus",6,"Acanthurus triostegus",27,NA,"192145",192145,"c(NA, NA)",NA,"c(1, NA)",1,NA,"4 months","external","dioecism","coastal",0,1,"1.7",1.7,60,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Tanzania","Mtwara",-10.255964,40.162882,NA,"2015","ATPase 6, 8",4,"842",1,NA,0.005,NA,"mtdna102"
"61","Aetobatus narinari",7,"Aetobatus narinari",330,NA,"1",1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,"no obvious seasonal peak","2 months","internal (oviduct)","dioecism",NA,0,NA,NA,NA,61,"Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","Cuba","Cuba",21.651703,-83.102581,NA,"2013","cytb",19,"580",0.561,NA,0.0024,NA,"mtdna102"
"62","Aetobatus narinari",7,"Aetobatus narinari",330,NA,"1",1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,"no obvious seasonal peak","2 months","internal (oviduct)","dioecism",NA,0,NA,NA,NA,62,"Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","Mexico","Mexico",19.53495,-92.177222,NA,"2009-2013","cytb",96,"580",0.536,NA,0.0022,NA,"mtdna102"
"63","Aetobatus narinari",7,"Aetobatus narinari",330,NA,"1",1,"c(NA, 110, NA)",110,"c(4, NA, NA)",4,"no obvious seasonal peak","2 months","internal (oviduct)","dioecism",NA,0,NA,NA,NA,63,"Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","USA","Florida",27.344437,-82.567594,NA,"2009-2011","cytb",169,"580",0.71,NA,0.0024,NA,"mtdna102"
