"","spp","X","CommonName","Source","Country","Site","lat","lon","stockid","CollectionYear","MarkerName","n","bp","He","Hese","Pi","Pise","file","maxlength","fecundity_mean","fertilization","reproductionmode"
"37","Acanthurus nigrofuscus",37,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","USA","Pearl & Hermes Reef",27.1333333333333,-175.134722222222,NA,"2006","cytb",20,"694",0.87,0.0134,0.0045,0.000604,"mtdna101",21,NA,"external","dioecism"
"38","Acanthurus nigrofuscus",38,"Brown Surgeonfish","Eble et al. 2011 Journal of Marine Biology 2011:518516","Western Pacific Ocean","Palau",7.05138888888889,134.068333333333,NA,"2008","cytb",36,"694",0.9,0.005,0.0028,3e-04,"mtdna101",21,NA,"external","dioecism"
"39","Acanthurus nigroris",39,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","American Samoa",-14.05,-170,NA,"2007","cytb",23,"797",0.94,0.00709,0.0054,0.000646,"mtdna101",25,NA,"external","dioecism"
"40","Acanthurus nigroris",40,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Line Islands",-2,-156.083333333333,NA,"2007","cytb",24,"797",0.95,0.00592,0.0053,0.000633,"mtdna101",25,NA,"external","dioecism"
"41","Acanthurus nigroris",41,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Marshall Islands",7.00166666666667,-171.035,NA,"2007","cytb",19,"797",1,0.0039,0.0065,0.000849,"mtdna101",25,NA,"external","dioecism"
"42","Acanthurus nigroris",42,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","Pacific Ocean","Society Islands",-17.0841666666667,-149.134166666667,NA,"2007","cytb",32,"797",0.98,0.00212,0.0073,0.000707,"mtdna101",25,NA,"external","dioecism"
"43","Acanthurus nigroris",43,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","French Frigate Shoals",23.1177777777778,-166.017777777778,NA,"2007","cytb",33,"797",0.42,0.0174,0.00064,0.000108,"mtdna101",25,NA,"external","dioecism"
"44","Acanthurus nigroris",44,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Gardner Pinnacles",24.1525,-167.1525,NA,"2007","cytb",27,"797",0.57,0.0117,8e-04,0.000139,"mtdna101",25,NA,"external","dioecism"
"45","Acanthurus nigroris",45,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Hawaii, Big Island",19.085,-155.083333333333,NA,"2007","cytb",32,"797",0.66,0.015,0.0012,0.000166,"mtdna101",25,NA,"external","dioecism"
"46","Acanthurus nigroris",46,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Johnston Atoll",16.1180555555556,-169.083611111111,NA,"2007","cytb",34,"797",0.22,0.016,0.00037,7.6e-05,"mtdna101",25,NA,"external","dioecism"
"47","Acanthurus nigroris",47,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kauai",22.0022222222222,-159.083333333333,NA,"2007","cytb",34,"797",0.27,0.0158,4e-04,8e-05,"mtdna101",25,NA,"external","dioecism"
"48","Acanthurus nigroris",48,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Kure Atoll",28.0669444444444,-178.050833333333,NA,"2007","cytb",41,"797",0.31,0.0145,0.00054,8.8e-05,"mtdna101",25,NA,"external","dioecism"
"49","Acanthurus nigroris",49,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Laysan Island",25.1183333333333,-171.1175,NA,"2007","cytb",46,"797",0.58,0.069,0.00086,0.00074,"mtdna101",25,NA,"external","dioecism"
"50","Acanthurus nigroris",50,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Lisianski Island",26.0016666666667,-173.151666666667,NA,"2007","cytb",39,"797",0.58,0.0131,0.001,0.000133,"mtdna101",25,NA,"external","dioecism"
"51","Acanthurus nigroris",51,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Maro Reef",25.0669444444444,-170.085833333333,NA,"2007","cytb",35,"797",0.62,0.108,0.00095,0.000135,"mtdna101",25,NA,"external","dioecism"
"52","Acanthurus nigroris",52,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Midway Island",28.0333333333333,-177.051388888889,NA,"2007","cytb",30,"797",0.58,0.0146,0.00097,0.000148,"mtdna101",25,NA,"external","dioecism"
"53","Acanthurus nigroris",53,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Nihoa",23.0016666666667,-161.150555555556,NA,"2007","cytb",32,"797",0.63,0.0161,0.00086,0.000133,"mtdna101",25,NA,"external","dioecism"
"54","Acanthurus nigroris",54,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Oahu",21.0683333333333,-157.152222222222,NA,"2007","cytb",29,"797",0.54,0.0173,0.00082,0.000136,"mtdna101",25,NA,"external","dioecism"
"55","Acanthurus nigroris",55,"Bluelined surgeonfish","DiBattista et al. 2011 Journal of Marine Biology 2011:839134","USA","Pearl & Hermes Reef",27.1333333333333,-175.134722222222,NA,"2007","cytb",29,"797",0.64,0.0106,0.00096,0.00015,"mtdna101",25,NA,"external","dioecism"
"56","Acanthurus triostegus",56,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Kenya","Kiunga",-1.746577,41.49137,NA,"2015","ATPase 6, 8",9,"842",0.92,NA,0.006,NA,"mtdna102",27,192145,"external","dioecism"
"57","Acanthurus triostegus",57,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Kenya","Mobasa",-4.067377,39.702996,NA,"2015","ATPase 6, 8",6,"842",1,NA,0.008,NA,"mtdna102",27,192145,"external","dioecism"
"58","Acanthurus triostegus",58,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Madagascar","Anakao",-23.655027,43.641767,NA,"2015","ATPase 6, 8",9,"842",0.89,NA,0.005,NA,"mtdna102",27,192145,"external","dioecism"
"59","Acanthurus triostegus",59,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Tanzania","Dar Es Salaam",-6.749797,39.300974,NA,"2015","ATPase 6, 8",7,"842",1,NA,0.009,NA,"mtdna102",27,192145,"external","dioecism"
"60","Acanthurus triostegus",60,"Convict surgeonfish","Otwoma et al. 2018 J. Fish Biol. 93:597-608 ","Tanzania","Mtwara",-10.255964,40.162882,NA,"2015","ATPase 6, 8",4,"842",1,NA,0.005,NA,"mtdna102",27,192145,"external","dioecism"
"61","Aetobatus narinari",61,"Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","Cuba","Cuba",21.651703,-83.102581,NA,"2013","cytb",19,"580",0.561,NA,0.0024,NA,"mtdna102",330,1,"internal (oviduct)","dioecism"
"62","Aetobatus narinari",62,"Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","Mexico","Mexico",19.53495,-92.177222,NA,"2009-2013","cytb",96,"580",0.536,NA,0.0022,NA,"mtdna102",330,1,"internal (oviduct)","dioecism"
"63","Aetobatus narinari",63,"Spotted eagle ray","Sellas et al. 2015 Journal of Heredity 266-275","USA","Florida",27.344437,-82.567594,NA,"2009-2011","cytb",169,"580",0.71,NA,0.0024,NA,"mtdna102",330,1,"internal (oviduct)","dioecism"
"64","Alopias vulpinus",65,"Thresher","Vella, Vella & Schembri (2017) Marine Genomics 36:17-23","","Malta",35.951019,14.361835,NA,"2003-2017","ND2",11,"990",0.182,0.144,2e-04,3e-04,"mtdna103",573.3,2,"internal (oviduct)","dioecism"
"65","Amblyraja radiata",66,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Central North Sea",56.13,4.81,NA,"2003","cytb",11,"290",0.473,NA,0.0018,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"66","Amblyraja radiata",67,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Kattegat",57.5,10.35,NA,"2003","cytb",22,"290",0.789,NA,0.006,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"67","Amblyraja radiata",68,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Eastern Atlantic","Off Haugesund",59.37,2.92,NA,"2003","cytb",15,"290",0.771,NA,0.0039,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"68","Amblyraja radiata",69,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Eyjafjordur",66.16,-18.43,NA,"2004","cytb",19,"290",0.784,NA,0.0038,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"69","Amblyraja radiata",70,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Hunafloi",65.57,-21.08,NA,"2004","cytb",27,"290",0.738,NA,0.0047,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"70","Amblyraja radiata",71,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Isafjardarjup",66.28,-23.2,NA,"2003","cytb",17,"290",0.75,NA,0.003,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"71","Amblyraja radiata",72,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off bistlfjordur",66.91,-13.48,NA,"2003","cytb",24,"290",0.916,NA,0.0071,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"72","Amblyraja radiata",73,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Bjargtangar 1",65.74,-27.4,NA,"2003","cytb",32,"290",0.802,NA,0.055,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"73","Amblyraja radiata",74,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Bjargtangar 2",65.67,-27.56,NA,"2003","cytb",22,"290",0.749,NA,0.006,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"74","Amblyraja radiata",75,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Off Hofn",63.91,-12.53,NA,"2003","cytb",17,"290",0.806,NA,0.0036,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"75","Amblyraja radiata",76,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Oxafjordur",66.28,-16.28,NA,"2004","cytb",20,"290",0.916,NA,0.0071,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"76","Amblyraja radiata",77,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Skagafjordur",65.94,-16.79,NA,"2004","cytb",19,"290",0.784,NA,0.0058,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"77","Amblyraja radiata",78,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Iceland","Skjalfandi",66.14,-17.54,NA,"2004","cytb",25,"290",0.743,NA,0.0056,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"78","Amblyraja radiata",79,"Starry ray","Chevolot et al. 2007 Mar Biol 151:1275-1286","Newfoundland","Newfoundland",46.07,-47.37,NA,"2004","cytb",30,"290",0.834,NA,0.007,NA,"mtdna101",105,28.66666667,"internal (oviduct)","dioecism"
"79","Ammodytes personatus",80,"Pacific sandlance","Kim Park Kim 2006","South Korea","Jumunjin, East Sea",37.979,128.8893,NA,"2005","control region",24,"750",1,0.0245,0.0255,0.00267,"mtdna101",15,8774.5,NA,NA
"80","Ammodytes personatus",81,"Pacific sandlance","Kim Park Kim 2006","South Korea","Jumunjin, East Sea",37.979,128.8893,NA,"2005","16S",29,"587",0.32,0.020797878,0.0012,0.000185695,"mtdna102",15,8774.5,NA,NA
"81","Ammodytes personatus",82,"Pacific sandlance","Kim Park Kim 2006","South Korea","Sangju, South Sea",34.814,128.285453,NA,"2005","control region",25,"750",0.99,0.0028,0.0097,0.00106,"mtdna101",15,8774.5,NA,NA
"82","Ammodytes personatus",83,"Pacific sandlance","Kim Park Kim 2006","South Korea","Sangju, South Sea",34.814,128.285453,NA,"2005","16S",28,"587",0.444,0.022299904,9e-04,0.000170084,"mtdna102",15,8774.5,NA,NA
"83","Ammodytes personatus",84,"Pacific sandlance","Kim Park Kim 2006","South Korea","Taean, West Sea",36.756,125.995612,NA,"2005","control region",24,"750",1,0.0245,0.0099,0.00106,"mtdna101",15,8774.5,NA,NA
"84","Ammodytes personatus",85,"Pacific sandlance","Kim Park Kim 2006","South Korea","Taean, West Sea",36.756,125.995612,NA,"2005","16S",30,"587",0.467,0.020448309,0.0011,0.000182574,"mtdna102",15,8774.5,NA,NA
"85","Ammodytes personatus",86,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","China","Dalian",38.939716,121.63307,NA,"2009","ATP6",21,"644",0.9714,0.006546537,0.0054,0.000698297,"mtdna102",15,8774.5,NA,NA
"86","Ammodytes personatus",87,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","China","Qingdao",36.033363,120.436729,NA,"2015","ATP6",30,"644",0.9701,0.003560197,0.0057,0.000602495,"mtdna102",15,8774.5,NA,NA
"87","Ammodytes personatus",88,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Aichi Prefecture",34.750935,137.191387,NA,"2005","ATP6",24,"644",0.9819,0.003755884,0.0058,0.000694022,"mtdna102",15,8774.5,NA,NA
"88","Ammodytes personatus",89,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Aomori Prefecture",40.931241,140.787853,NA,"2009","ATP6",24,"644",0.9783,0.00481733,NA,NA,"mtdna102",15,8774.5,NA,NA
"89","Ammodytes personatus",90,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Cape Soya",45.523053,141.936058,NA,"2005","ATP6",21,"644",0.9952,0.003600595,NA,NA,"mtdna102",15,8774.5,NA,NA
"90","Ammodytes personatus",91,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Fukuoka",33.624171,130.357348,NA,"2005","ATP6",21,"644",0.981,0.004909903,0.0068,0.00085105,"mtdna102",15,8774.5,NA,NA
"91","Ammodytes personatus",92,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Sendai Bay",38.034484,141.046457,NA,"2006","ATP6",22,"644",0.987,0.003731013,NA,NA,"mtdna102",15,8774.5,NA,NA
"92","Ammodytes personatus",93,"Pacific sandlance","Deng et al. 2019 Journal of the Marine Biological Association of the United Kingdom 1-8","Japan","Seto Naikai",34.132318,133.245432,NA,"2005","ATP6",22,"644",0.974,0.00588434,0.0062,0.000767523,"mtdna102",15,8774.5,NA,NA
"93","Amphiprion akallopisos",94,"Skunk clownfish","Huyghe & Kochzius 2018 PLoS ONE 13:e0193825","Mozambique","Nacala",-14.555969,40.667823,NA,"","control region",31,"337",0.503,NA,0.0027,NA,"mtdna102",11,NA,"external","protandry"
"94","Amphiprion akallopisos",95,"Skunk clownfish","Huyghe & Kochzius 2018 PLoS ONE 13:e0193825","Mozambique","Pemba",-12.974445,40.499531,NA,"","control region",35,"337",0.77,NA,0.0064,NA,"mtdna102",11,NA,"external","protandry"
"95","Amphiprion akallopisos",96,"Skunk clownfish","Huyghe & Kochzius 2018 PLoS ONE 13:e0193825","Mozambique","Tofo",-23.852385,35.546061,NA,"","control region",8,"337",0.25,NA,8e-04,NA,"mtdna102",11,NA,"external","protandry"
"96","Amphiprion latezonatus",97,"Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","Lord Howe Island",-31.546103,159.083156,NA,"","D-loop",33,"316",0.742,0.01271,0.00612,0.00069,"mtdna102",14,NA,"external","protandry"
"97","Amphiprion latezonatus",98,"Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","Norfolk Island",-29.03932,167.943606,NA,"","D-loop",31,"316",0.703,0.01652,0.00444,0.00056,"mtdna102",14,NA,"external","protandry"
"98","Amphiprion latezonatus",99,"Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","North Solitary Island",-29.91934,153.392455,NA,"","D-loop",34,"316",0.75,0.01372,0.00463,0.00055,"mtdna102",14,NA,"external","protandry"
"99","Amphiprion latezonatus",100,"Wide-band anemonefish","Steinberg et al. 2016 Coral Reefs 35:959-970","Australia","Sunshine Coast",-26.411,153.1487,NA,"","D-loop",7,"316",0.95,0.03893,0.00512,0.00148,"mtdna102",14,NA,"external","protandry"
"100","Amphiprion melanopus",101,"Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Fiji","Central Fiji",-17.3,178.9,NA,"","control region",36,"384",NA,NA,0.02,0.001666667,"mtdna101",12,7200,"external","protandry"
"101","Amphiprion melanopus",102,"Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Papua New Guinea","Milne Bay",-9.02,149.15,NA,"","control region",26,"384",NA,NA,0.021,0.001961161,"mtdna101",12,7200,"external","protandry"
"102","Amphiprion melanopus",103,"Fire clownfish","Drew et. al 2008 Conservation Biology 22(4):965-975","Solomon Islands","Nudha Islands",-9.5,160.8,NA,"","control region",11,"384",NA,NA,0.02,0.003015113,"mtdna101",12,7200,"external","protandry"
